

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines

000.008  000.008: --- NVIM STARTING ---
000.091  000.083: event init
000.212  000.121: early init
000.538  000.325: locale set
000.585  000.048: init first window
000.921  000.336: inits 1
000.939  000.018: window checked
001.005  000.066: parsing arguments
001.522  000.033  000.033: require('vim.shared')
001.615  000.038  000.038: require('vim._options')
001.617  000.085  000.047: require('vim._editor')
001.618  000.223  000.106: require('vim._init_packages')
001.621  000.393: init lua interpreter
003.490  001.870: expanding arguments
003.522  000.032: inits 2
003.819  000.297: init highlight
003.822  000.004: waiting for UI
004.079  000.257: done waiting for UI
004.093  000.014: clear screen
004.289  000.196: init default mappings & autocommands
004.936  000.093  000.093: sourcing /opt/homebrew/Cellar/neovim/0.9.5/share/nvim/runtime/ftplugin.vim
005.028  000.024  000.024: sourcing /opt/homebrew/Cellar/neovim/0.9.5/share/nvim/runtime/indent.vim
005.399  000.156  000.156: require('disable_builtin')
006.080  000.521  000.521: require('lazy')
006.103  000.012  000.012: require('ffi')
006.141  000.036  000.036: require('vim.loader')
006.236  000.037  000.037: require('vim.fs')
006.382  000.224  000.187: require('lazy.stats')
006.700  000.281  000.281: require('lazy.core.util')
006.868  000.167  000.167: require('lazy.core.config')
007.068  000.089  000.089: require('lazy.core.handler')
007.223  000.154  000.154: require('lazy.core.plugin')
007.229  000.357  000.114: require('lazy.core.loader')
007.791  000.084  000.084: require('plugins')
007.946  000.129  000.129: require('plugins.alpha')
008.044  000.087  000.087: require('plugins.barbar')
008.188  000.129  000.129: require('plugins.cmp')
008.398  000.158  000.158: require('plugins.colorizer')
008.508  000.103  000.103: require('plugins.colorscheme')
008.690  000.170  000.170: require('plugins.commentary')
008.821  000.105  000.105: require('plugins.conflict-marker')
009.013  000.130  000.130: require('plugins.ctrlsf')
009.176  000.156  000.156: require('plugins.fidget')
009.347  000.156  000.156: require('plugins.filetype')
009.556  000.199  000.199: require('plugins.flit')
009.700  000.124  000.124: require('plugins.floaterm')
009.935  000.230  000.230: require('plugins.fugitive')
010.266  000.167  000.167: require('plugins.fzf')
010.368  000.077  000.077: require('plugins.gitsigns')
010.484  000.104  000.104: require('plugins.hlslens')
010.616  000.079  000.079: require('plugins.hop')
010.783  000.118  000.118: require('plugins.illuminate')
010.922  000.134  000.134: require('plugins.indent-blankline')
011.037  000.109  000.109: require('plugins.kitty-navigator')
011.155  000.113  000.113: require('plugins.lsp')
011.432  000.100  000.100: require('plugins.lsp_saga')
011.656  000.169  000.169: require('plugins.lualine')
011.748  000.083  000.083: require('plugins.matchup')
011.824  000.071  000.071: require('plugins.maximizer')
011.938  000.111  000.111: require('plugins.mundo')
012.010  000.067  000.067: require('plugins.navic')
012.091  000.076  000.076: require('plugins.notify')
012.157  000.062  000.062: require('plugins.projectionist')
012.264  000.103  000.103: require('plugins.rails')
012.337  000.068  000.068: require('plugins.rainbow-delimiters')
012.397  000.055  000.055: require('plugins.repeat')
012.499  000.095  000.095: require('plugins.scrollbar')
012.803  000.175  000.175: require('plugins.sideways')
012.880  000.071  000.071: require('plugins.splitjoin')
